2021-06-24 15:14:24 INFO  HepsiburadaPage:68 - Bilgisayar alt menüsüne tıklandı.
2021-06-24 15:14:27 INFO  HepsiburadaPage:75 - Bilgisayar modeli MSI seçildi.
2021-06-24 15:14:36 INFO  HepsiburadaPage:79 - İkinci sayfa açıldı.
2021-06-24 15:14:45 INFO  HepsiburadaPage:86 - İkinci sayfadaki ikinci ürüne tıklandı.
2021-06-24 15:14:45 INFO  HepsiburadaPage:93 - İkinci ürün favorilere eklendi.
2021-06-24 15:15:12 INFO  HepsiburadaPage:105 - Favori listem sayfası açıldı.
2021-06-24 15:15:13 INFO  HepsiburadaPage:110 - Favori listesine eklenen ürün seçildi.
2021-06-24 15:15:14 INFO  HepsiburadaPage:120 - Eklenen ürün favorilerden silindi.
2021-06-24 15:15:17 INFO  HepsiburadaPage:130 - Eklenen ürünü favori listesinden silme işlemi onaylandı.
2021-06-24 15:53:17 INFO  HepsiburadaPage:23 - Giriş Yapıldı.
2021-06-24 15:53:20 INFO  HepsiburadaPage:30 - E-mail alanı dolduruldu.
2021-06-24 15:53:20 INFO  HepsiburadaPage:37 - Parola alanı dolduruldu.
2021-06-24 15:53:23 INFO  HepsiburadaPage:47 - Giriş yap butonuna tıklandı.
2021-06-24 15:55:57 INFO  HepsiburadaPage:62 - Elektronik menüsüne tıklandı.
2021-06-24 15:56:04 INFO  HepsiburadaPage:68 - Bilgisayar alt menüsüne tıklandı.
2021-06-24 15:57:17 INFO  HepsiburadaPage:23 - Giriş Yapıldı.
2021-06-24 15:57:20 INFO  HepsiburadaPage:30 - E-mail alanı dolduruldu.
2021-06-24 15:57:21 INFO  HepsiburadaPage:37 - Parola alanı dolduruldu.
2021-06-24 15:57:24 INFO  HepsiburadaPage:47 - Giriş yap butonuna tıklandı.
2021-06-24 15:58:44 INFO  HepsiburadaPage:62 - Elektronik menüsüne tıklandı.
2021-06-24 15:58:51 INFO  HepsiburadaPage:68 - Bilgisayar alt menüsüne tıklandı.
2021-06-24 15:58:53 INFO  HepsiburadaPage:75 - Bilgisayar modeli MSI seçildi.
2021-06-24 15:59:03 INFO  HepsiburadaPage:79 - İkinci sayfa açıldı.
2021-06-24 15:59:09 INFO  HepsiburadaPage:86 - İkinci sayfadaki ikinci ürüne tıklandı.
2021-06-24 15:59:12 INFO  HepsiburadaPage:93 - İkinci ürün favorilere eklendi.
2021-06-24 15:59:46 INFO  HepsiburadaPage:105 - Favori listem sayfası açıldı.
2021-06-24 15:59:47 INFO  HepsiburadaPage:110 - Favori listesine eklenen ürün seçildi.
2021-06-24 15:59:48 INFO  HepsiburadaPage:120 - Eklenen ürün favorilerden silindi.
2021-06-24 15:59:52 INFO  HepsiburadaPage:130 - Eklenen ürünü favori listesinden silme işlemi onaylandı.
2021-06-24 15:59:55 INFO  HepsiburadaPage:136 - Profilim penceresi açıldı.
2021-06-24 15:59:56 INFO  HepsiburadaPage:141 - Üye çıkış işlemi yapıldı.
2021-06-24 16:02:06 INFO  HepsiburadaPage:23 - Giriş Yapıldı.
2021-06-24 16:02:09 INFO  HepsiburadaPage:30 - E-mail alanı dolduruldu.
2021-06-24 16:02:09 INFO  HepsiburadaPage:37 - Parola alanı dolduruldu.
2021-06-24 16:02:13 INFO  HepsiburadaPage:47 - Giriş yap butonuna tıklandı.
2021-06-24 16:04:36 INFO  HepsiburadaPage:62 - Elektronik menüsüne tıklandı.
2021-06-24 16:04:43 INFO  HepsiburadaPage:68 - Bilgisayar alt menüsüne tıklandı.
2021-06-24 16:04:45 INFO  HepsiburadaPage:75 - Bilgisayar modeli MSI seçildi.
2021-06-24 16:04:54 INFO  HepsiburadaPage:79 - İkinci sayfa açıldı.
2021-06-24 16:05:03 INFO  HepsiburadaPage:86 - İkinci sayfadaki ikinci ürüne tıklandı.
2021-06-24 16:05:04 INFO  HepsiburadaPage:93 - İkinci ürün favorilere eklendi.
2021-06-24 16:05:44 INFO  HepsiburadaPage:105 - Favori listem sayfası açıldı.
2021-06-24 16:05:45 INFO  HepsiburadaPage:110 - Favori listesine eklenen ürün seçildi.
2021-06-24 16:05:47 INFO  HepsiburadaPage:120 - Eklenen ürün favorilerden silindi.
2021-06-24 16:05:51 INFO  HepsiburadaPage:130 - Eklenen ürünü favori listesinden silme işlemi onaylandı.
2021-06-24 16:05:55 INFO  HepsiburadaPage:136 - Profilim penceresi açıldı.
2021-06-24 16:05:56 INFO  HepsiburadaPage:141 - Üye çıkış işlemi yapıldı.
2021-06-24 16:42:32 INFO  HepsiburadaPage:23 - Giriş Yapıldı.
2021-06-24 16:42:35 INFO  HepsiburadaPage:30 - E-mail alanı dolduruldu.
2021-06-24 16:42:35 INFO  HepsiburadaPage:37 - Parola alanı dolduruldu.
2021-06-24 16:42:39 INFO  HepsiburadaPage:47 - Giriş yap butonuna tıklandı.
2021-06-24 16:42:56 INFO  HepsiburadaPage:63 - Elektronik menüsüne tıklandı.
2021-06-24 16:44:08 INFO  HepsiburadaPage:23 - Giriş Yapıldı.
2021-06-24 16:44:11 INFO  HepsiburadaPage:30 - E-mail alanı dolduruldu.
2021-06-24 16:44:11 INFO  HepsiburadaPage:37 - Parola alanı dolduruldu.
2021-06-24 16:44:15 INFO  HepsiburadaPage:47 - Giriş yap butonuna tıklandı.
2021-06-24 16:44:28 INFO  HepsiburadaPage:63 - Elektronik menüsüne tıklandı.
2021-06-24 16:44:35 INFO  HepsiburadaPage:69 - Bilgisayar alt menüsüne tıklandı.
2021-06-24 16:44:36 INFO  HepsiburadaPage:76 - Bilgisayar modeli MSI seçildi.
2021-06-24 16:44:44 INFO  HepsiburadaPage:80 - İkinci sayfa açıldı.
2021-06-24 16:44:52 INFO  HepsiburadaPage:87 - İkinci sayfadaki ikinci ürüne tıklandı.
2021-06-24 16:44:53 INFO  HepsiburadaPage:94 - İkinci ürün favorilere eklendi.
2021-06-24 16:46:27 INFO  HepsiburadaPage:23 - Giriş Yapıldı.
2021-06-24 16:46:29 INFO  HepsiburadaPage:30 - E-mail alanı dolduruldu.
2021-06-24 16:46:29 INFO  HepsiburadaPage:37 - Parola alanı dolduruldu.
2021-06-24 16:46:33 INFO  HepsiburadaPage:47 - Giriş yap butonuna tıklandı.
2021-06-24 16:46:44 INFO  HepsiburadaPage:63 - Elektronik menüsüne tıklandı.
2021-06-24 16:46:50 INFO  HepsiburadaPage:69 - Bilgisayar alt menüsüne tıklandı.
2021-06-24 16:46:52 INFO  HepsiburadaPage:76 - Bilgisayar modeli MSI seçildi.
2021-06-24 16:47:00 INFO  HepsiburadaPage:80 - İkinci sayfa açıldı.
2021-06-24 16:47:08 INFO  HepsiburadaPage:87 - İkinci sayfadaki ikinci ürüne tıklandı.
2021-06-24 16:47:09 INFO  HepsiburadaPage:94 - İkinci ürün favorilere eklendi.
2021-06-24 16:47:29 INFO  HepsiburadaPage:105 - Favori listem sayfası açıldı.
2021-06-24 16:49:55 INFO  HepsiburadaPage:23 - Giriş Yapıldı.
2021-06-24 16:49:58 INFO  HepsiburadaPage:30 - E-mail alanı dolduruldu.
2021-06-24 16:49:58 INFO  HepsiburadaPage:37 - Parola alanı dolduruldu.
